data;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
19-01-1974;0,0;0,0;0,0;0,0;0,0;15,1;13,0;10,2;11,0;4,0;0,0;0,0;0,0;1,4;12,6;4,0;16,0;10,8;22,0;16,0;5,6;10,0;5,6;12,0;4,0;24,6;17,4;18,0;0,0;0,0;18,0;23,1;0,0;0,0;0,0
20-01-1974;0,0;0,0;0,0;0,0;0,0;1,4;0,0;0,0;4,0;0,0;0,0;0,0;22,0;0,0;13,2;3,0;4,0;18,2;0,0;4,0;28,0;5,0;28,0;7,0;20,0;0,0;3,0;40,0;0,0;2,8;41,0;12,3;22,0;0,0;0,0
21-01-1974;0,0;0,0;21,0;21,0;26,2;0,0;0,0;0,0;27,0;4,8;37,0;33,0;45,0;1,0;7,0;9,0;23,0;72,0;0,0;23,0;6,8;16,0;6,8;10,0;6,4;0,0;38,5;1,0;30,4;18,4;20,0;58,4;45,0;2,3;18,0
22-01-1974;0,0;0,0;0,0;0,0;0,0;26,1;19,0;31,0;7,0;48,2;0,0;0,0;0,0;31,8;0,0;0,0;58,0;0,0;0,0;58,0;9,0;13,0;9,0;26,0;12,0;0,0;16,0;5,0;45,0;1,2;0,0;0,0;0,0;31,2;17,0
23-01-1974;0,0;0,0;0,0;0,0;10,0;2,4;5,0;5,4;11,0;2,6;0,0;18,5;47,0;0,0;5,2;0,5;0,0;22,8;25,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;46,2;5,0;0,0;47,0;3,2;0,0
24-01-1974;0,0;0,0;13,0;13,0;10,4;1,2;1,0;6,2;5,0;12,4;20,0;0,0;15,0;11,0;0,0;0,0;22,0;0,0;0,0;22,0;24,6;21,0;24,6;0,0;3,4;17,6;26,0;0,0;0,0;0,0;0,0;0,0;15,0;8,4;0,0
25-01-1974;10,0;10,0;13,0;13,0;10,8;20,3;9,0;16,0;4,0;3,2;16,0;0,0;65,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;1,4;0,0;0,0;0,0;0,0;0,0;0,0;42,0;0,0;0,0;65,0;0,0;0,0
26-01-1974;40,6;40,6;11,0;11,0;36,4;15,0;30,0;53,0;11,0;90,4;0,0;46,0;10,0;1,2;0,0;1,0;43,0;19,0;0,0;43,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;20,5;0,0;0,0;12,2;10,0;8,6;8,0
27-01-1974;30,4;30,4;49,0;49,0;42,8;52,9;17,0;25,0;14,0;10,0;50,0;95,0;0,0;81,0;1,8;17,0;10,0;21,0;0,0;10,0;45,8;6,0;45,8;6,0;21,0;0,0;0,0;42,0;0,0;0,0;0,0;10,6;0,0;0,0;23,5
28-01-1974;0,0;0,0;0,0;0,0;57,0;64,2;75,0;44,1;3,0;49,2;0,0;10,0;38,0;9,6;15,2;0,0;35,0;0,0;37,0;35,0;52,6;26,0;52,6;10,0;7,6;17,0;10,5;0,0;20,0;0,0;43,0;23,8;38,0;0,0;2,0
