Nome_Posto,Nome_Municipio,Coordenada_Y,Coordenada_X,Ano_Inicio,Ano_Fim,Mes_Inicio,Mes_Fim,Total_dias_intervalo,Dias_dados_medidos,Dias_falhos,Percentual_dias_falhos,Total_meses_intervalo,Numero_meses_completos,Numero_meses_falha,Percentual_meses_falha,Total_anos_intervalo,Numero_anos_completos,Numero_anos_falha,Percentual_anos_falha,Precipitacao_media_anual,Mes_Jan,Mes_Fev,Mes_Mar,Mes_Apr,Mes_May,Mes_Jun,Mes_Jul,Mes_Aug,Mes_Sep,Mes_Oct,Mes_Nov,Mes_Dec
PINDORETAMA,Pindoretama,"-4,05","-38,333305555556",1988,2023,2,12,13158,12683,475,"3,61",432,411,21,"4,86",36,33,3,"8,33","1213,8","126,2","155,9","288,2","323,8","193,8","96,0","51,4","9,3","4,3","1,3","3,5","22,4"
PIQUET CARNEIRO,Piquet Carneiro,"-5,8052222222222","-39,412916666667",1974,2023,1,12,18274,18263,11,"0,06",600,598,2,"0,33",50,48,2,"4,0","710,2","84,3","103,5","173,9","156,3","86,1","40,2","20,7","6,4","0,9","1,3","7,6","23,3"
PIRANGI,Ibaretama,"-4,683","-38,683305555556",2000,2023,6,4,8772,2329,6443,"73,45",288,68,220,"76,39",24,3,21,"87,5","161,8","82,9","63,0","98,3","179,3","72,6","66,8","20,4","24,4","0,4","0,0","0,0","7,0"
PIRES FERREIRA,Pires Ferreira,"-4,2445277777778","-40,6345",1989,2023,1,12,12791,12750,41,"0,32",420,416,4,"0,95",35,32,3,"8,57","871,4","123,4","144,1","218,1","199,4","97,5","31,5","14,1","0,9","0,3","4,1","9,7","21,2"
PITOMBEIRA,Caucaia,"-3,6480555555556","-38,79775",2000,2023,6,2,8772,2446,6326,"72,12",288,72,216,"75,0",24,4,20,"83,33","328,4","120,5","135,1","317,3","388,3","184,8","116,1","46,4","8,3","16,0","0,0","0,0","5,4"
PITOMBEIRA (2),Boa Viagem,"-5,0115833333333","-39,748138888889",2000,2023,11,5,8772,849,7923,"90,32",288,19,269,"93,4",24,0,24,"100,0","21,8","43,6","57,6","25,8","95,4","21,2","0,0","0,0","0,0","0,0","0,0","0,0","18,1"
POCO DA AREIA,Ubajara,"-3,8490555555556","-41,062916666667",1996,2023,1,4,10234,6569,3665,"35,81",336,209,127,"37,8",28,11,17,"60,71","402,6","86,0","98,6","101,9","150,1","85,9","22,8","2,3","0,6","0,0","15,7","1,9","25,4"
POCO DO PAU,Brejo Santo,"-7,5490277777778","-38,837861111111",2000,2023,7,12,8772,8568,204,"2,33",288,279,9,"3,12",24,20,4,"16,67","730,6","124,9","134,6","198,1","104,9","46,2","14,5","7,7","1,7","2,4","24,9","24,3","73,1"
POCO DOCE,Paracuru,"-3,4423055555556","-39,108666666667",2017,2023,2,12,2557,1438,1119,"43,76",84,45,39,"46,43",7,1,6,"85,71","822,9","127,3","182,2","380,0","383,6","212,6","129,7","57,6","3,5","0,6","0,0","1,7","8,3"
POCO GRANDE,Jucás,"-6,467","-39,683305555556",2000,2023,11,10,8772,5458,3314,"37,78",288,172,116,"40,28",24,11,13,"54,17","426,8","101,7","136,1","131,4","146,8","55,6","14,5","6,9","3,4","0,7","9,8","8,2","19,2"
PONTA DA SERRA,Crato,"-7,1177777777778","-39,429194444444",1988,2023,1,12,13158,5544,7614,"57,87",432,167,265,"61,34",36,8,28,"77,78","409,2","151,8","198,8","233,3","126,6","55,6","10,3","8,9","0,5","0,9","20,6","11,6","86,6"
PORANGA,Poranga,"-4,7448888888889","-40,923888888889",1979,2023,1,12,16447,15926,521,"3,17",540,521,19,"3,52",45,40,5,"11,11","622,9","83,5","108,3","168,6","133,0","57,2","25,5","13,5","2,4","1,2","4,1","12,0","23,1"
PORTEIRAS,Porteiras,"-7,5329444444444","-39,120388888889",1979,2023,1,12,16447,16407,40,"0,24",540,536,4,"0,74",45,42,3,"6,67","814,4","123,0","146,2","173,4","130,7","64,5","21,6","16,9","4,1","3,1","19,0","29,0","85,6"
POTENGI,Potengi,"-7,0946666666667","-40,030472222222",1974,2023,1,12,18274,18214,60,"0,33",600,594,6,"1,0",50,44,6,"12,0","701,1","112,9","127,8","184,5","135,1","42,4","8,1","4,5","1,5","1,8","8,9","31,8","43,1"
POTI-FEIJAO,Crateús,"-5,0655833333333","-40,75775",2000,2023,12,2,8772,3333,5439,"62,0",288,102,186,"64,58",24,6,18,"75,0","238,7","156,7","138,7","156,8","134,6","39,1","38,2","0,5","4,3","0,0","0,0","0,0","28,4"
POTIRETAMA,Potiretama,"-5,7","-38,166694444444",1989,2023,1,12,12791,12789,2,"0,02",420,418,2,"0,48",35,33,2,"5,71","658,4","83,6","103,6","156,9","148,3","85,3","37,5","18,5","3,0","0,1","2,9","7,2","13,9"
PRAIA DA BALEIA,Itapipoca,"-3,1491388888889","-39,440416666667",1995,2023,12,12,10599,8741,1858,"17,53",348,282,66,"18,97",29,20,9,"31,03","1015,1","121,0","133,7","280,4","273,4","183,4","82,4","37,5","5,7","2,4","0,0","1,8","12,8"
PRATA,Bela Cruz,"-2,9420277777778","-40,277166666667",2000,2023,10,12,8772,8493,279,"3,18",288,275,13,"4,51",24,20,4,"16,67","1020,0","107,5","164,1","299,9","298,8","122,6","37,5","14,5","2,4","0,1","0,3","1,6","17,4"
PRIMAVERA,Caucaia,"-3,7","-38,816694444444",2000,2023,6,12,8772,782,7990,"91,09",288,15,273,"94,79",24,0,24,"100,0","8,9","999,0","0,0","999,0","89,8","5,0","0,0","31,9","0,0","0,0","0,0","0,0","0,0"
PROVIDENCIA,Pentecoste,"-3,967","-39,133305555556",1998,2023,6,3,9502,3656,5846,"61,52",312,112,200,"64,1",26,4,22,"84,62","205,4","54,5","76,3","143,3","211,8","94,3","28,8","2,7","0,0","0,0","0,0","0,0","1,5"
