Nome_Posto,Nome_Municipio,Coordenada_Y,Coordenada_X,Ano_Inicio,Ano_Fim,Mes_Inicio,Mes_Fim,Total_dias_intervalo,Dias_dados_medidos,Dias_falhos,Percentual_dias_falhos,Total_meses_intervalo,Numero_meses_completos,Numero_meses_falha,Percentual_meses_falha,Total_anos_intervalo,Numero_anos_completos,Numero_anos_falha,Percentual_anos_falha,Precipitacao_media_anual,Mes_Jan,Mes_Fev,Mes_Mar,Mes_Apr,Mes_May,Mes_Jun,Mes_Jul,Mes_Aug,Mes_Sep,Mes_Oct,Mes_Nov,Mes_Dec
QUATIGUABA,Viçosa do Ceará,"-3,6666666666667","-41,066666666667",1990,2023,2,12,12426,394,12032,"96,83",408,0,408,"100,0",34,0,34,"100,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0"
QUIMAMI,Missão Velha,"-7,1875","-39,0855",2000,2023,7,10,8772,3405,5367,"61,18",288,106,182,"63,19",24,7,17,"70,83","292,5","122,3","177,7","214,7","94,8","42,9","7,1","3,6","0,6","8,2","19,9","34,3","59,3"
QUITAIUS,Lavras da Mangabeira,"-6,883","-39,1",1988,2023,2,12,13158,8983,4175,"31,73",432,276,156,"36,11",36,16,20,"55,56","722,6","194,4","196,0","237,9","147,6","73,7","22,8","13,1","2,1","3,5","20,2","25,7","71,2"
QUITERIANOPOLIS,Quiterianópolis,"-5,9058333333333","-40,70675",1988,2023,1,12,13158,13143,15,"0,11",432,428,4,"0,93",36,33,3,"8,33","629,8","106,3","111,1","171,8","119,6","48,6","8,7","4,8","1,1","0,5","5,5","12,0","40,4"
QUIXABINHA,Mauriti,"-7,5028333333333","-38,747944444444",1988,2023,1,12,13158,5155,8003,"60,82",432,155,277,"64,12",36,7,29,"80,56","262,2","115,4","100,7","161,7","107,8","39,3","13,7","9,9","4,6","5,7","21,6","16,4","42,5"
QUIXADA,Quixadá,"-4,967","-39,033305555556",1974,2023,1,12,18274,18264,10,"0,05",600,598,2,"0,33",50,48,2,"4,0","724,0","72,1","106,7","175,2","168,4","103,8","48,2","22,4","4,5","0,6","0,5","6,4","14,3"
QUIXELO,Quixelô,"-6,2556388888889","-39,204416666667",1988,2023,1,12,13158,13128,30,"0,23",432,431,1,"0,23",36,35,1,"2,78","781,1","100,7","113,5","179,0","183,0","101,8","22,8","15,0","4,5","1,9","10,5","9,6","39,0"
QUIXERAMOBIM,Quixeramobim,"-5,2008055555556","-39,283722222222",1974,2023,1,12,18274,18272,2,"0,01",600,598,2,"0,33",50,48,2,"4,0","711,1","75,5","87,5","148,4","162,5","104,6","61,3","32,7","9,6","2,0","1,1","6,3","19,3"
QUIXERE,Quixeré,"-5,0713888888889","-37,995222222222",1981,2023,1,12,15715,15650,65,"0,41",516,512,4,"0,78",43,41,2,"4,65","671,3","82,4","113,2","166,1","151,9","77,3","44,8","15,3","1,1","0,5","2,0","1,3","15,4"
QUIXOA,Iguatu,"-6,433","-39,333305555556",2000,2023,11,12,8772,8345,427,"4,87",288,266,22,"7,64",24,16,8,"33,33","808,5","135,7","141,8","213,8","161,9","81,3","20,4","8,0","8,3","1,0","17,0","13,5","45,3"
RADAR QUIXERAMOBIM,Quixeramobim,"-5,0693611111111","-39,267222222222",2012,2023,7,12,4386,3904,482,"10,99",144,125,19,"13,19",12,9,3,"25,0","661,8","70,3","91,2","162,4","144,1","101,1","45,1","43,0","8,7","0,9","2,3","19,8","13,6"
RAFAEL ARRUDA,Sobral,"-3,8350555555556","-40,665166666667",1998,2023,1,1,9502,7797,1705,"17,94",312,250,62,"19,87",26,16,10,"38,46","508,7","88,2","139,7","136,9","148,8","53,0","13,0","1,3","0,0","0,0","0,0","0,0","3,9"
RAIMUNDO MARTINS,Santa Quitéria,"-4,6496666666667","-40,066694444444",2000,2023,8,12,8772,7276,1496,"17,05",288,234,54,"18,75",24,17,7,"29,17","491,0","116,6","83,2","135,2","117,2","47,8","9,9","6,6","0,0","0,1","0,6","3,1","28,3"
RANCHO AGUA FRIA,Ibiapina,"-3,9870277777778","-40,987388888889",2021,2023,1,12,1095,1095,0,"0,0",36,36,0,"0,0",3,3,0,"0,0","765,3","56,7","98,5","290,7","148,3","70,8","18,5","1,0","18,3","2,3","0,0","19,7","40,5"
RECIFE,Independência,"-5,3008055555556","-40,264222222222",2000,2023,12,12,8772,6620,2152,"24,53",288,211,77,"26,74",24,12,12,"50,0","388,8","93,1","86,4","129,1","94,8","28,1","15,0","9,2","3,1","0,9","0,0","7,7","20,4"
REDENCAO,Redenção,"-4,2231666666667","-38,729472222222",1978,2023,1,12,16812,16712,100,"0,59",552,547,5,"0,91",46,43,3,"6,52","1149,5","118,0","171,7","256,1","254,4","155,3","89,6","43,3","9,4","6,5","6,3","7,5","31,0"
RERIUTABA,Reriutaba,"-4,1412777777778","-40,584583333333",1974,2023,1,12,18274,18258,16,"0,09",600,596,4,"0,67",50,46,4,"8,0","934,2","119,3","147,2","234,7","220,8","111,2","35,3","12,1","1,0","0,3","3,6","8,1","40,2"
RETIRO GRANDE,Icapuí,"-4,7138611111111","-37,527083333333",1994,2023,1,12,10964,8415,2549,"23,25",360,271,89,"24,72",30,20,10,"33,33","639,6","98,4","127,6","185,2","214,6","111,4","39,9","15,3","3,2","1,0","1,4","4,7","12,9"
RIACHAO DO BANABUIU,Pedra Branca,"-5,4653888888889","-39,996444444444",1988,2023,2,9,13158,869,12289,"93,4",432,8,424,"98,15",36,0,36,"100,0","10,6","0,0","55,0","25,0","110,0","51,0","0,0","0,0","0,0","999,0","999,0","999,0","999,0"
RIACHO DO ALGODAO,Quixeramobim,"-5,3528055555556","-39,576138888889",2014,2023,4,11,3654,3461,193,"5,28",120,113,7,"5,83",10,8,2,"20,0","692,8","87,4","142,4","163,3","109,2","97,3","57,3","34,2","8,1","0,7","1,4","15,5","28,8"
RIACHO VERDE,Várzea Alegre,"-6,87175","-39,370083333333",1999,2023,1,12,9137,7940,1197,"13,1",300,257,43,"14,33",25,18,7,"28,0","1011,7","159,7","163,9","227,6","148,7","75,5","21,2","9,2","3,2","1,0","1,0","23,0","47,6"
RIACHO VERMELHO,Iguatu,"-6,2108888888889","-39,29675",2000,2023,11,12,8772,7883,889,"10,13",288,254,34,"11,81",24,17,7,"29,17","717,1","112,2","118,2","164,1","165,1","92,9","27,7","18,0","8,0","3,8","5,5","15,7","29,4"
RINARÉ,Banabuiú,"-5,4","-39,016694444444",2001,2023,1,12,8405,5479,2926,"34,81",276,174,102,"36,96",23,10,13,"56,52","319,0","81,1","88,6","141,4","137,2","73,2","50,7","8,0","0,0","0,0","0,0","0,0","0,0"
ROLDAO,Morada Nova,"-5,2450833333333","-38,491027777778",1998,2023,4,12,9502,7141,2361,"24,85",312,229,83,"26,6",26,16,10,"38,46","520,6","93,7","85,0","160,7","141,3","95,6","56,7","13,4","9,4","0,0","0,0","8,6","21,5"
RUSSAS,Russas,"-4,9419166666667","-37,976722222222",1974,2023,1,12,18274,17911,363,"1,99",600,582,18,"3,0",50,42,8,"16,0","722,3","77,8","116,7","174,8","163,9","97,0","45,8","20,9","5,0","2,4","2,3","2,0","21,8"
SABIAGUABA,Amontada,"-3,0998333333333","-39,586805555556",2000,2023,6,1,8772,2848,5924,"67,53",288,86,202,"70,14",24,6,18,"75,0","402,2","194,2","155,8","217,8","308,3","218,2","74,1","1,5","0,0","0,0","0,0","0,0","18,2"
SABOEIRO,Saboeiro,"-6,5351666666667","-39,901972222222",1977,2023,1,12,17177,16844,333,"1,94",564,550,14,"2,48",47,44,3,"6,38","587,8","91,1","103,9","147,0","121,9","50,8","16,8","9,2","1,9","3,9","7,1","15,0","35,0"
SABONETE,Madalena,"-4,7596666666667","-39,517",2022,2023,3,12,730,648,82,"11,23",24,21,3,"12,5",2,1,1,"50,0","498,7","77,6","60,8","265,0","117,8","76,9","47,3","16,8","0,0","0,0","0,0","19,7","4,0"
SACO DO BELEM,Santa Quitéria,"-4,4296944444444","-39,795722222222",1991,2023,5,12,12061,5605,6456,"53,53",396,174,222,"56,06",33,11,22,"66,67","199,5","68,2","62,6","115,3","87,6","50,7","10,1","6,3","0,0","0,0","0,3","11,6","8,3"
SALAO,Senador Sá,"-3,4270833333333","-40,546388888889",2000,2023,11,12,8772,8291,481,"5,48",288,271,17,"5,9",24,20,4,"16,67","908,1","143,0","186,3","208,6","232,7","95,0","42,4","15,4","1,0","0,0","0,5","4,3","26,8"
SALGADINHO,Madalena,"-4,8070555555556","-39,54575",2016,2023,1,5,2924,306,2618,"89,53",96,7,89,"92,71",8,0,8,"100,0","11,8","0,0","7,0","0,0","0,0","20,5","999,0","999,0","999,0","999,0","999,0","999,0","999,0"
SALGADO DOS MACHADOS,Sobral,"-3,7985555555556","-40,355611111111",1998,2023,1,1,9502,6108,3394,"35,72",312,193,119,"38,14",26,10,16,"61,54","380,0","63,8","129,8","131,5","152,1","56,8","13,0","1,0","0,0","0,0","0,0","0,0","3,8"
SALITRE,Salitre,"-7,2836944444444","-40,454555555556",1988,2023,2,12,13158,11135,2023,"15,37",432,355,77,"17,82",36,20,16,"44,44","676,0","96,5","107,1","155,5","100,9","34,8","4,7","4,1","0,2","0,4","2,6","10,8","42,5"
SAMBAIBA,Granja,"-3,1984722222222","-40,956388888889",2000,2023,11,12,8772,7822,950,"10,83",288,251,37,"12,85",24,18,6,"25,0","983,9","147,7","225,3","239,2","257,7","132,7","45,1","17,6","3,9","0,0","1,2","1,8","22,4"
SANTA CRUZ,Itapajé,"-3,6681111111111","-39,520166666667",2001,2023,1,12,8405,8335,70,"0,83",276,271,5,"1,81",23,19,4,"17,39","1411,4","118,9","164,4","250,4","210,6","124,3","65,7","36,0","6,6","1,0","1,0","4,5","21,4"
SANTA FE,Crato,"-7,1618333333333","-39,536388888889",1988,2023,2,12,13158,5067,8091,"61,49",432,153,279,"64,58",36,10,26,"72,22","421,1","182,7","211,0","271,2","211,7","83,8","15,9","14,2","0,0","1,5","9,5","69,0","100,2"
SANTA QUITERIA,Santa Quitéria,"-4,333","-40,15",1974,2023,1,12,18274,18013,261,"1,43",600,589,11,"1,83",50,47,3,"6,0","747,3","106,0","129,0","215,3","179,7","70,4","14,1","3,9","1,2","0,5","0,7","4,5","20,3"
SANTA TEREZA,Tauá,"-5,8675277777778","-40,575638888889",1988,2023,2,12,13158,10418,2740,"20,82",432,329,103,"23,84",36,18,18,"50,0","935,2","98,3","95,7","149,7","108,1","51,7","13,3","3,9","0,8","0,3","2,6","15,5","23,4"
SANTA TEREZINHA,Crateús,"-5,0485555555556","-40,593138888889",2000,2023,12,12,8772,4046,4726,"53,88",288,124,164,"56,94",24,7,17,"70,83","351,3","140,0","126,9","190,5","136,2","31,6","10,6","0,0","0,0","0,0","0,0","1,2","10,0"
SANTA VITORIA - LAGES,Aurora,"-6,8950277777778","-38,844833333333",2018,2023,1,12,2192,2192,0,"0,0",72,72,0,"0,0",6,6,0,"0,0","976,5","152,0","211,5","250,1","183,7","44,2","18,0","15,2","8,7","0,7","3,6","51,8","37,0"
SANTANA,Poranga,"-4,8047222222222","-41,085805555556",2000,2023,12,12,8772,7921,851,"9,7",288,255,33,"11,46",24,17,7,"29,17","437,2","97,6","103,6","100,9","78,7","26,4","5,2","2,0","0,9","0,0","5,1","11,8","28,6"
SANTANA DO ACARAU,Santana do Acaraú,"-3,4581388888889","-40,209972222222",1974,2023,1,12,18274,18262,12,"0,07",600,596,4,"0,67",50,46,4,"8,0","861,2","109,1","136,6","224,3","219,9","104,9","28,8","14,7","1,8","0,7","0,9","1,3","18,5"
SANTANA DO CARIRI,Santana do Cariri,"-7,1840555555556","-39,738083333333",1979,2023,1,12,16447,16288,159,"0,97",540,532,8,"1,48",45,41,4,"8,89","888,3","146,4","169,0","228,7","167,5","51,0","14,1","6,0","1,3","3,5","10,1","33,8","59,4"
SANTO AMARO,Itapipoca,"-3,5438888888889","-39,58325",2002,2013,4,3,4386,-160,4546,"103,65",144,-11,155,"107,64",12,-1,13,"108,33","1191,0","181,5","210,7","363,7","344,2","190,7","113,9","94,9","7,4","6,7","4,2","8,2","44,8"
SANTO ANTONIO,Ararendá,"-4,7080555555556","-40,6725",2000,2023,12,12,8772,3927,4845,"55,23",288,122,166,"57,64",24,7,17,"70,83","625,2","116,4","187,9","209,6","196,5","47,1","23,6","7,7","1,4","0,9","1,1","31,9","42,8"
SANTO ANTONIO DA PINDOBA,Ibiapina,"-3,9619722222222","-41,093638888889",2002,2023,2,12,8040,2691,5349,"66,53",264,82,182,"68,94",22,6,16,"72,73","189,5","63,7","113,7","178,5","138,7","32,8","19,8","0,0","7,6","0,0","1,8","16,2","37,3"
SANTO ANTôNIO,Quiterianópolis,"-6,0085833333333","-40,791611111111",2017,2023,1,12,2557,2557,0,"0,0",84,84,0,"0,0",7,7,0,"0,0","570,3","95,8","113,1","169,7","81,9","8,7","13,0","5,1","7,7","0,0","0,0","24,9","50,4"
SAO BARTOLOMEU,Cariús,"-6,6666666666667","-39,5",1988,2023,2,12,13158,573,12585,"95,65",432,3,429,"99,31",36,0,36,"100,0","42,2","999,0","999,0","342,0","999,0","65,0","3,0","999,0","999,0","999,0","999,0","999,0","999,0"
SAO BENEDITO,São Benedito,"-4,0463055555556","-40,866611111111",1974,2023,1,12,18274,18231,43,"0,24",600,597,3,"0,5",50,48,2,"4,0","1362,9","161,8","207,2","317,2","314,1","167,7","72,2","33,1","6,7","4,8","7,6","19,4","52,1"
SAO BERNARDO,Canindé,"-4,4008333333333","-39,350833333333",2010,2023,1,12,5116,3891,1225,"23,94",168,121,47,"27,98",14,7,7,"50,0","440,0","64,4","101,3","151,1","103,1","61,9","19,8","14,9","1,8","0,0","2,2","6,3","26,4"
SAO DOMINGOS,Caridade,"-4,233","-39,266694444444",2000,2023,3,5,8772,4318,4454,"50,78",288,135,153,"53,12",24,9,15,"62,5","350,3","94,8","110,1","139,4","188,8","77,7","23,0","0,0","7,5","0,8","0,0","0,0","0,0"
SAO FELIPE,Brejo Santo,"-7,4579166666667","-39,073972222222",2000,2023,7,5,8772,3896,4876,"55,59",288,121,167,"57,99",24,5,19,"79,17","378,5","159,3","125,6","194,6","68,5","22,9","1,1","19,8","2,7","3,6","61,3","4,5","104,5"
SAO GONCALO DO AMARANTE,São Gonçalo do Amarante,"-3,6747222222222","-38,979722222222",1974,2023,1,12,18274,18273,1,"0,01",600,599,1,"0,17",50,49,1,"2,0","1054,2","106,8","161,9","257,1","246,2","131,5","76,2","40,0","5,0","4,6","2,9","2,8","19,8"
SAO JOAO DO JAGUARIBE,São João do Jaguaribe,"-5,2715277777778","-38,273194444444",1974,2023,1,1,18274,17304,970,"5,31",600,565,35,"5,83",50,44,6,"12,0","645,6","82,3","112,0","158,4","151,0","86,1","42,1","16,9","5,4","0,6","2,9","2,5","13,5"
SAO JOAO DO TRISSI,Tauá,"-5,8467777777778","-40,478666666667",1988,2023,2,12,13158,9159,3999,"30,39",432,289,143,"33,1",36,17,19,"52,78","327,1","94,4","91,6","120,9","90,1","26,5","14,7","3,6","0,0","0,0","2,9","6,8","25,2"
SAO JOAQUIM,Itapajé,"-3,7296944444444","-39,671222222222",1999,2023,1,12,9137,6748,2389,"26,15",300,217,83,"27,67",25,14,11,"44,0","417,0","61,2","69,0","113,2","135,8","68,9","38,7","16,7","5,1","0,8","0,1","3,6","10,3"
SAO JOSE,Carnaubal,"-4,1361111111111","-40,950555555556",1993,2023,12,12,11329,6263,5066,"44,72",372,197,175,"47,04",31,11,20,"64,52","534,7","122,4","120,0","205,9","239,1","142,0","52,8","21,5","3,4","0,3","0,7","0,8","15,5"
SAO JOSE DAS LONTRAS,Ipueiras,"-4,5572777777778","-40,972027777778",2000,2023,12,12,8772,8445,327,"3,73",288,274,14,"4,86",24,20,4,"16,67","428,0","81,8","80,9","121,8","77,0","30,2","10,9","5,1","0,0","0,8","4,3","7,1","21,2"
SAO JOSE DO FAMA,Iracema,"-5,648","-38,302833333333",1998,2023,9,12,9502,8584,918,"9,66",312,279,33,"10,58",26,21,5,"19,23","653,6","118,7","113,9","156,4","161,3","85,1","39,6","23,2","6,4","0,2","4,5","5,5","14,9"
SAO JOSE DO TORTO,Sobral,"-3,7868333333333","-40,615583333333",1997,2023,12,1,9867,7147,2720,"27,57",324,229,95,"29,32",27,14,13,"48,15","475,9","78,1","129,2","138,7","159,4","68,0","17,7","2,6","0,0","0,0","0,0","0,6","4,1"
SAO LUIS DO CURU,São Luís do Curu,"-3,6723333333333","-39,242166666667",1974,2023,1,12,18274,18274,0,"0,0",600,600,0,"0,0",50,50,0,"0,0","837,8","86,8","121,6","236,2","200,9","119,0","41,2","17,7","2,8","0,4","0,0","1,1","10,1"
SAO MANOEL,Tamboril,"-4,867","-40,1833",2002,2023,5,12,8040,2170,5870,"73,01",264,65,199,"75,38",22,3,19,"86,36","125,7","142,0","128,4","118,5","80,6","61,8","31,5","0,0","0,0","0,0","0,0","0,0","0,0"
SAO MIGUEL,Mauriti,"-7,3863888888889","-38,670611111111",2000,2021,7,1,8042,7791,251,"3,12",264,248,16,"6,06",22,14,8,"36,36","1387,3","105,1","108,3","178,9","133,1","81,8","39,8","21,5","5,8","1,6","4,5","12,8","28,6"
SAO MONTE ALEGRE,Tamboril,"-4,92375","-40,181444444444",2002,2023,1,12,8040,6604,1436,"17,86",264,212,52,"19,7",22,12,10,"45,45","507,1","119,7","97,9","136,1","111,2","67,8","27,1","11,8","1,2","0,7","0,3","5,8","26,5"
SAO ROMAO,Altaneira,"-6,9865","-39,68",2020,2023,1,12,1462,1462,0,"0,0",48,48,0,"0,0",4,4,0,"0,0","987,2","193,2","144,5","326,2","150,2","35,2","12,2","0,0","0,0","0,0","19,8","74,2","31,5"
SAO SEBASTIAO,Cariús,"-6,5985277777778","-39,599944444444",2000,2023,12,12,8772,7577,1195,"13,62",288,246,42,"14,58",24,17,7,"29,17","685,9","135,4","136,7","197,2","131,6","74,2","21,5","5,6","1,5","1,5","10,9","21,9","45,4"
SAO VICENTE,Icó,"-6,2239166666667","-38,673583333333",1998,2023,1,12,9502,8434,1068,"11,24",312,270,42,"13,46",26,20,6,"23,08","509,1","95,9","104,8","136,3","116,0","56,6","18,9","7,1","3,6","1,5","4,2","8,4","19,6"
SARGENTO,Jaguaruana,"-4,8419166666667","-37,839361111111",2018,2023,1,7,2192,1665,527,"24,04",72,54,18,"25,0",6,4,2,"33,33","593,8","40,0","132,8","182,6","237,0","93,0","15,6","10,8","0,0","0,0","0,0","0,0","3,8"
SEBASTIAO DE ABREU,Pentecoste,"-3,8484444444444","-39,323027777778",2003,2023,1,12,7675,7440,235,"3,06",252,240,12,"4,76",21,15,6,"28,57","659,9","78,0","101,2","155,6","176,1","84,4","39,1","21,8","2,3","0,0","0,7","0,6","9,9"
SEDE,São Gonçalo do Amarante,"-3,6039444444444","-38,967111111111",2010,2023,1,12,5116,4817,299,"5,84",168,155,13,"7,74",14,11,3,"21,43","1195,1","145,1","173,2","272,1","285,4","149,0","75,6","41,0","4,5","1,8","2,6","9,7","38,1"
SEMAN,Itaitinga,"-3,9481388888889","-38,558638888889",2017,2023,1,12,2557,1841,716,"28,0",84,59,25,"29,76",7,4,3,"42,86","1021,1","124,4","263,5","370,2","265,4","209,7","55,5","78,1","1,3","2,8","1,5","11,9","56,3"
SENADOR POMPEU,Senador Pompeu,"-5,587","-39,370666666667",1974,2023,1,12,18274,18273,1,"0,01",600,599,1,"0,17",50,49,1,"2,0","748,7","77,2","105,3","163,1","164,3","109,0","51,8","31,9","10,4","2,6","1,3","8,5","23,4"
SENADOR SA,Senador Sá,"-3,3515277777778","-40,463333333333",1974,2023,1,12,18274,16190,2084,"11,4",600,527,73,"12,17",50,39,11,"22,0","865,2","135,3","188,8","259,1","215,5","97,2","30,0","14,7","0,9","0,3","0,3","2,9","21,5"
SERENO DE CIMA,Ocara,"-4,4911111111111","-38,599777777778",1997,2023,9,7,9867,5840,4027,"40,81",324,185,139,"42,9",27,12,15,"55,56","511,3","171,0","117,8","146,6","201,4","111,1","64,9","28,9","10,6","2,1","0,0","1,1","3,4"
SERRA  BREJINHO,Jardim,"-7,5923611111111","-39,319611111111",2018,2023,12,12,2192,1828,364,"16,61",72,58,14,"19,44",6,3,3,"50,0","807,0","85,5","88,1","274,1","112,0","89,2","73,6","63,6","17,0","5,2","23,3","53,1","64,4"
SERRA BOCA DA MATA L ,Jardim,"-7,5371666666667","-39,263444444444",2018,2023,1,12,2192,2192,0,"0,0",72,72,0,"0,0",6,6,0,"0,0","941,5","97,0","150,7","225,4","134,0","62,5","65,3","62,2","17,8","2,9","17,4","29,1","77,3"
SERRA BRAVA,Milagres,"-7,2503333333333","-38,808777777778",2015,2023,1,12,3289,2933,356,"10,82",108,94,14,"12,96",9,6,3,"33,33","741,2","105,0","146,4","276,1","133,4","55,5","21,4","2,2","3,5","4,6","8,4","29,3","49,0"
SERRA DA GUIA,Boa Viagem,"-4,91125","-39,805222222222",2004,2023,11,12,7310,5481,1829,"25,02",240,175,65,"27,08",20,11,9,"45,0","529,7","68,2","99,5","168,7","130,4","76,0","49,7","41,4","1,9","2,7","0,8","10,3","29,2"
SERRA DO BAIXIO DO MOCO,Salitre,"-7,2978611111111","-40,304027777778",2017,2023,11,12,2557,754,1803,"70,51",84,23,61,"72,62",7,1,6,"85,71","154,4","121,5","132,0","55,0","91,5","5,5","29,5","0,0","0,0","0,0","15,0","8,0","90,0"
SERRA DO FELIX,Beberibe,"-4,5031388888889","-38,139277777778",1998,2023,6,3,9502,3907,5595,"58,88",312,122,190,"60,9",26,8,18,"69,23","342,8","124,1","116,4","177,0","217,3","115,4","53,1","13,0","7,6","0,0","0,5","4,1","12,1"
SERRAGEM,Ocara,"-4,4328888888889","-38,507361111111",1997,2023,10,12,9867,6315,3552,"36,0",324,200,124,"38,27",27,14,13,"48,15","473,7","78,0","106,3","188,1","174,3","86,7","39,1","15,3","14,7","0,0","0,0","0,0","10,1"
SERROTA,Senador Sá,"-3,1830833333333","-40,452361111111",1994,2023,2,3,10964,7948,3016,"27,51",360,247,113,"31,39",30,15,15,"50,0","671,9","99,5","151,5","238,8","216,8","93,0","41,9","13,6","0,0","0,0","0,0","0,5","6,2"
SERROTE BRANCO,Jaguaretama,"-5,4891944444444","-38,889638888889",2001,2023,1,12,8405,8370,35,"0,42",276,272,4,"1,45",23,19,4,"17,39","635,0","75,2","85,8","152,3","138,0","82,7","45,4","29,2","4,1","0,1","1,9","5,9","16,7"
SINHA SABOIA,Sobral,"-3,7030833333333","-40,34125",1999,2023,12,12,9137,8612,525,"5,75",300,280,20,"6,67",25,20,5,"20,0","825,2","111,2","164,2","212,4","202,9","87,2","35,8","20,1","3,8","1,4","4,0","6,8","22,2"
SITIO ALEGRE,Morrinhos,"-3,3095555555556","-40,121166666667",2000,2023,11,6,8772,1085,7687,"87,63",288,27,261,"90,62",24,2,22,"91,67","50,3","17,6","41,2","188,1","170,5","68,7","44,4","0,0","0,0","0,0","0,0","0,0","0,0"
SITIO BAIXA GRANDE,Crateús,"-5,3136944444444","-40,792916666667",2018,2023,4,3,2192,1155,1037,"47,31",72,36,36,"50,0",6,1,5,"83,33","398,9","125,4","159,0","313,0","72,5","18,5","12,5","17,7","0,0","0,0","0,0","30,8","19,9"
SITIO BAIXIO DAS BESTAS,Penaforte,"-7,8166666666667","-39,066666666667",1990,2023,2,12,12426,448,11978,"96,39",408,2,406,"99,51",34,0,34,"100,0","4,7","999,0","148,0","999,0","999,0","11,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0"
SITIO BICA,Palmácia,"-4,15","-38,85",1990,2023,2,1,12426,1028,11398,"91,73",408,21,387,"94,85",34,1,33,"97,06","66,8","190,0","115,2","437,5","319,0","155,2","162,0","23,3","15,0","4,9","17,4","16,2","50,1"
SITIO BONSUCESSO,Jardim,"-7,6410277777778","-39,202583333333",2017,2023,12,12,2557,2195,362,"14,16",84,68,16,"19,05",7,2,5,"71,43","623,6","73,2","92,4","211,4","130,0","45,4","43,1","15,6","5,2","2,0","16,0","25,0","48,9"
SITIO CAMPO LIMPO,Russas,"-4,9361666666667","-37,885138888889",2018,2023,1,2,2192,1051,1141,"52,05",72,33,39,"54,17",6,2,4,"66,67","311,8","115,0","164,9","136,2","149,5","73,5","9,0","22,4","0,0","0,0","0,0","10,0","3,4"
SITIO CANTO,Umari,"-6,6321111111111","-38,67825",1992,2023,1,12,11696,11692,4,"0,03",384,382,2,"0,52",32,30,2,"6,25","748,7","123,1","130,7","171,6","138,0","80,0","29,0","15,5","4,1","1,5","10,5","16,4","29,0"
SITIO CATOLÉ DA PISTA,Piquet Carneiro,"-5,9426388888889","-39,525472222222",2011,2023,4,12,4751,2556,2195,"46,2",156,81,75,"48,08",13,5,8,"61,54","499,8","96,8","117,3","226,5","200,9","89,6","29,4","25,7","0,0","4,2","0,5","42,8","29,2"
SITIO CHAPADINHA,São Benedito,"-4,1485833333333","-40,861833333333",2018,2023,4,12,2192,2104,88,"4,01",72,69,3,"4,17",6,5,1,"16,67","880,7","116,7","171,8","307,6","218,7","61,0","34,4","5,0","0,0","0,0","0,0","32,9","32,0"
SITIO ESCONDIDO,Farias Brito,"-6,9166666666667","-39,566666666667",1990,2023,1,12,12426,523,11903,"95,79",408,4,404,"99,02",34,0,34,"100,0","17,1","999,0","999,0","255,4","221,0","999,0","999,0","999,0","999,0","0,0","999,0","0,0","999,0"
SITIO FAVEIRA,São Benedito,"-4,0528888888889","-40,963083333333",1994,2023,1,12,10964,9123,1841,"16,79",360,294,66,"18,33",30,20,10,"33,33","640,5","94,7","114,1","190,3","154,8","66,5","43,2","6,5","2,4","0,5","0,7","7,4","15,3"
SITIO FERNANDES,Aratuba,"-4,40525","-39,069722222222",2015,2023,1,3,3289,2082,1207,"36,7",108,67,41,"37,96",9,5,4,"44,44","495,1","79,5","79,0","160,8","130,2","115,1","57,7","85,8","0,0","0,0","1,0","7,6","29,9"
SITIO FORQUILHA -  COGERH,Beberibe,"-4,5860555555556","-38,034333333333",2002,2023,1,12,8040,7259,781,"9,71",264,232,32,"12,12",22,14,8,"36,36","678,5","79,6","106,7","191,5","175,6","100,6","38,6","12,9","0,2","0,0","3,3","2,6","5,8"
SITIO INHARE,São Benedito,"-4,0533333333333","-41,055555555556",2017,2023,1,12,2557,2557,0,"0,0",84,84,0,"0,0",7,7,0,"0,0","580,6","42,1","109,8","167,9","137,9","34,8","11,8","3,2","9,1","0,0","3,2","39,6","21,2"
SITIO ITAPORANGA,Saboeiro,"-6,535","-39,930833333333",2009,2023,4,10,5481,3622,1859,"33,92",180,113,67,"37,22",15,6,9,"60,0","324,3","83,2","92,4","116,8","103,3","38,5","2,9","0,0","0,0","0,0","0,0","7,7","46,2"
SITIO LIMA,São João do Jaguaribe,"-5,2485833333333","-38,222",2020,2023,12,12,1462,1115,347,"23,73",48,35,13,"27,08",4,2,2,"50,0","555,0","70,6","25,9","207,6","162,7","150,4","0,0","5,3","24,1","0,0","0,0","30,0","24,4"
SITIO LIVRAMENTO,Redenção,"-4,2166666666667","-38,716666666667",1990,2023,4,12,12426,576,11850,"95,36",408,6,402,"98,53",34,0,34,"100,0","6,1","32,3","999,0","142,1","999,0","999,0","999,0","25,0","999,0","0,0","0,0","0,0","999,0"
SITIO LUCAS,Beberibe,"0,0","0,0",1995,2023,2,12,10599,361,10238,"96,59",348,1,347,"99,71",29,0,29,"100,0","12,6","999,0","112,0","253,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0"
